uID,roomNumber,name,licensePlates
062823181,E-768,Người 0,66N-784.75
900465716,G-322,Người 1,77Y-308.96
311894754,B-305,Người 2,41H-849.79
917855128,E-405,Người 3,99D-443.64
637993297,Q-631,Người 4,13X-483.39
871826247,C-300,Người 5,39Y-418.83
964280294,E-417,Người 6,76I-969.85
707198124,K-925,Người 7,43G-695.46
968878707,E-318,Người 8,41T-361.34
822918336,F-341,Người 9,20W-122.81
168098131,G-236,Người 10,78B-191.63
618127945,K-316,Người 11,27D-782.83
684130357,I-868,Người 12,84Z-415.64
595946799,U-800,Người 13,13S-452.82
601878764,I-829,Người 14,23V-447.94
940410988,C-482,Người 15,14A-713.56
451111035,Q-559,Người 16,96F-180.50
224177386,W-914,Người 17,21X-905.12
409066322,D-293,Người 18,49P-324.81
641592531,T-659,Người 19,24G-750.25
865916808,N-516,Người 20,11O-716.24
648524892,X-330,Người 21,32Z-644.65
211295149,C-410,Người 22,93I-984.30
017033846,E-579,Người 23,93X-680.47
205863846,H-917,Người 24,99N-415.66
940399472,P-920,Người 25,95C-226.42
085230362,K-295,Người 26,86W-954.52
606814754,A-274,Người 27,33Q-698.70
242713130,O-110,Người 28,26H-296.54
638841776,T-478,Người 29,16H-770.33
373678129,U-739,Người 30,34L-289.91
113850304,O-999,Người 31,72W-723.34
816335469,Y-504,Người 32,18K-216.96
466162090,A-159,Người 33,43D-252.99
966272271,K-320,Người 34,26F-313.57
204681437,W-373,Người 35,53G-528.85
221305720,I-764,Người 36,91F-625.52
507201435,R-521,Người 37,29W-418.86
334736104,E-529,Người 38,82J-383.51
894632814,F-549,Người 39,22N-510.65
285461845,N-152,Người 40,63F-206.68
157717250,S-732,Người 41,70G-428.92
474202194,C-506,Người 42,63Y-201.83
609470929,W-647,Người 43,24H-703.51
680464682,G-886,Người 44,67G-947.25
776320308,X-919,Người 45,40S-734.99
708862932,S-986,Người 46,89T-343.95
808313182,C-849,Người 47,64I-776.34
276138857,Q-784,Người 48,13N-668.47
071418491,D-607,Người 49,32Z-366.30
992507900,M-783,Người 50,48O-405.14
726997127,F-542,Người 51,39Z-169.54
957703817,U-838,Người 52,29J-717.39
037229818,G-275,Người 53,79C-139.30
975929537,R-193,Người 54,62F-144.21
707862123,E-603,Người 55,92I-784.50
409571889,U-565,Người 56,31J-483.83
576377926,V-892,Người 57,51N-531.50
390807326,S-864,Người 58,87V-541.98
275892132,W-123,Người 59,91G-286.63
139975712,D-656,Người 60,41U-534.57
174777260,Y-997,Người 61,63I-726.17
478461018,H-441,Người 62,53I-651.24
409933349,Y-610,Người 63,38Q-118.74
490188689,P-293,Người 64,39R-986.83
589441057,J-956,Người 65,26B-888.41
128118000,R-396,Người 66,25A-899.16
818722617,P-558,Người 67,66B-390.45
567373658,Y-652,Người 68,45I-632.61
657580975,H-551,Người 69,23C-270.12
538336742,E-891,Người 70,67P-956.20
372696065,Z-462,Người 71,43E-998.83
963040571,S-877,Người 72,69X-153.85
549315803,B-118,Người 73,88U-634.90
396262965,B-449,Người 74,75W-613.72
499616652,I-410,Người 75,76V-143.80
831821771,K-460,Người 76,80K-464.49
492628142,W-523,Người 77,55U-416.76
011939577,H-327,Người 78,71B-654.43
688940950,Z-176,Người 79,33C-236.95
169065538,M-620,Người 80,45R-455.29
327422376,J-194,Người 81,98F-173.51
400147389,F-885,Người 82,74E-329.97
498043164,W-608,Người 83,14G-737.99
594032952,T-185,Người 84,83L-528.66
065287747,E-848,Người 85,99M-666.14
776015618,N-983,Người 86,67C-630.12
623412075,E-149,Người 87,16W-954.36
943452819,H-823,Người 88,84N-663.52
756677307,O-209,Người 89,70K-777.87
742787213,M-536,Người 90,87R-540.28
881429667,C-752,Người 91,95P-948.87
546132693,J-478,Người 92,66W-401.96
628326265,W-882,Người 93,28Q-309.52
128550072,Q-732,Người 94,31F-108.13
493737238,C-815,Người 95,58Z-460.68
459740869,Y-358,Người 96,30Y-121.83
685550146,A-365,Người 97,60W-386.99
875001745,T-522,Người 98,50O-663.42
891945874,N-791,Người 99,20E-803.93
814083982,L-515,Người 100,51F-188.88
723863628,A-721,Người 101,93B-404.69
387326853,L-298,Người 102,12J-275.70
368390319,O-461,Người 103,41H-128.14
541657924,O-179,Người 104,43A-235.99
281428520,V-427,Người 105,39Y-830.59
838558070,X-743,Người 106,30E-774.16
678653810,L-670,Người 107,75Z-691.88
676846588,Q-892,Người 108,90U-421.39
493307478,M-302,Người 109,88C-494.84
972397516,P-361,Người 110,25I-829.28
361439322,M-796,Người 111,84B-879.69
023744760,F-145,Người 112,31M-965.41
922357249,U-724,Người 113,84S-593.30
049870370,D-376,Người 114,58X-182.64
321190474,O-100,Người 115,90M-989.42
517383729,K-541,Người 116,55F-538.66
845970231,R-755,Người 117,63F-530.47
066418348,W-360,Người 118,78I-338.86
537929472,A-450,Người 119,91J-996.50
891533963,D-852,Người 120,51I-861.66
647663230,A-676,Người 121,24C-438.14
898922778,L-745,Người 122,97C-766.18
145637519,N-608,Người 123,21X-298.77
313788031,A-152,Người 124,94C-243.68
387307281,M-327,Người 125,68A-862.89
938099339,O-871,Người 126,25N-540.41
159727027,W-981,Người 127,23D-967.39
817767038,H-806,Người 128,74J-853.44
725759711,D-614,Người 129,85E-917.83
408936846,G-616,Người 130,43J-569.65
040406101,G-247,Người 131,95W-605.93
032931891,M-845,Người 132,84D-767.68
937200796,T-778,Người 133,16P-386.11
043056851,N-741,Người 134,86V-310.28
301646966,B-794,Người 135,46P-140.14
428931276,N-940,Người 136,79K-760.96
691402681,H-850,Người 137,81R-667.78
742832424,S-756,Người 138,65X-308.65
385132458,M-823,Người 139,92R-605.59
401985582,R-745,Người 140,32P-251.55
221925520,Y-276,Người 141,73I-731.13
041393307,Z-289,Người 142,82P-490.81
202056999,A-703,Người 143,76O-325.25
504394833,Q-971,Người 144,43P-873.25
387323523,T-895,Người 145,80L-594.29
967651284,I-191,Người 146,80Q-310.83
682807901,Y-769,Người 147,81L-949.22
499147939,V-505,Người 148,93X-190.49
199456894,Q-792,Người 149,11G-873.89
781387468,J-465,Người 150,63P-951.10
524474502,A-451,Người 151,37X-307.34
650208479,G-850,Người 152,16L-144.57
962980409,Y-399,Người 153,96B-712.74
405560383,J-292,Người 154,65G-871.90
485988164,O-558,Người 155,12G-888.31
469320411,C-774,Người 156,32M-285.19
974639121,G-237,Người 157,75C-272.23
607272977,Z-459,Người 158,23M-786.77
454216097,P-194,Người 159,12N-864.36
790953167,M-974,Người 160,98F-185.50
944813954,F-904,Người 161,73V-539.68
573767242,E-512,Người 162,51E-163.70
114780001,S-791,Người 163,51L-733.39
784468695,W-554,Người 164,70X-808.37
403589049,G-829,Người 165,74F-433.90
048077576,S-654,Người 166,81K-217.35
196917009,B-220,Người 167,88F-331.61
131718752,A-199,Người 168,90E-270.24
517969951,I-602,Người 169,68C-958.32
235785431,O-937,Người 170,12C-312.89
019905783,K-198,Người 171,68R-645.42
542634784,K-652,Người 172,22P-310.31
294728460,O-972,Người 173,99Z-393.60
834977582,Y-618,Người 174,52J-629.34
164677323,E-442,Người 175,22M-464.50
082037953,J-801,Người 176,87X-634.58
179460130,E-171,Người 177,92V-460.20
994474696,F-943,Người 178,65J-259.21
416379277,T-448,Người 179,87P-897.89
082280593,P-671,Người 180,20C-525.64
267258893,O-537,Người 181,91K-502.83
788356937,L-812,Người 182,72M-988.78
484200706,V-270,Người 183,30R-514.49
627330246,E-492,Người 184,87Y-208.65
076437377,I-456,Người 185,70D-919.60
124128399,O-262,Người 186,53N-254.50
855333139,O-432,Người 187,20N-105.89
464643587,X-720,Người 188,80S-697.58
934736330,U-567,Người 189,63G-931.98
421785410,Z-156,Người 190,45H-537.25
424511009,V-710,Người 191,35Q-948.80
557927010,N-308,Người 192,86G-971.41
012332502,B-359,Người 193,44B-499.30
538217429,E-271,Người 194,12K-301.60
508176778,V-355,Người 195,15T-232.58
482560672,Y-847,Người 196,53N-526.57
414265824,X-379,Người 197,11U-665.55
157894052,Q-263,Người 198,66I-769.99
840165822,E-330,Người 199,38W-750.28
